physician_id,quarter,region,specialty,panel_size,years_experience,digital_engagement_score,rep_visits_per_quarter,formulary_access_pct,peer_influence_score,expected_scripts,actual_scripts,under_prescriber
1,2023-Q1,Northeast,Neurology,836,30,0.697,4,0.67,0.371,33.4,41.8,0
1,2023-Q2,Northeast,Neurology,836,30,0.697,4,0.67,0.371,33.4,38.2,0
1,2023-Q3,Northeast,Neurology,836,30,0.697,4,0.67,0.371,33.4,43.6,0
1,2023-Q4,Northeast,Neurology,836,30,0.697,4,0.67,0.371,33.4,40.3,0
1,2024-Q1,Northeast,Neurology,836,30,0.697,4,0.67,0.371,33.4,33.6,0
1,2024-Q2,Northeast,Neurology,836,30,0.697,4,0.67,0.371,33.4,39.8,0
1,2024-Q3,Northeast,Neurology,836,30,0.697,4,0.67,0.371,33.4,33.1,0
1,2024-Q4,Northeast,Neurology,836,30,0.697,4,0.67,0.371,33.4,42.3,0
1,2025-Q1,Northeast,Neurology,836,30,0.697,4,0.67,0.371,33.4,37.7,0
1,2025-Q2,Northeast,Neurology,836,30,0.697,4,0.67,0.371,33.4,37.0,0
1,2025-Q3,Northeast,Neurology,836,30,0.697,4,0.67,0.371,33.4,34.5,0
1,2025-Q4,Northeast,Neurology,836,30,0.697,4,0.67,0.371,33.4,44.0,0
2,2023-Q1,Midwest,Pulmonology,1050,7,0.467,0,0.493,0.683,42.0,50.0,0
2,2023-Q2,Midwest,Pulmonology,1050,7,0.467,0,0.493,0.683,42.0,34.0,0
2,2023-Q3,Midwest,Pulmonology,1050,7,0.467,0,0.493,0.683,42.0,33.3,0
2,2023-Q4,Midwest,Pulmonology,1050,7,0.467,0,0.493,0.683,42.0,31.4,1
2,2024-Q1,Midwest,Pulmonology,1050,7,0.467,0,0.493,0.683,42.0,40.4,0
2,2024-Q2,Midwest,Pulmonology,1050,7,0.467,0,0.493,0.683,42.0,43.6,0
2,2024-Q3,Midwest,Pulmonology,1050,7,0.467,0,0.493,0.683,42.0,35.8,0
2,2024-Q4,Midwest,Pulmonology,1050,7,0.467,0,0.493,0.683,42.0,31.2,1
2,2025-Q1,Midwest,Pulmonology,1050,7,0.467,0,0.493,0.683,42.0,31.3,1
2,2025-Q2,Midwest,Pulmonology,1050,7,0.467,0,0.493,0.683,42.0,40.6,0
2,2025-Q3,Midwest,Pulmonology,1050,7,0.467,0,0.493,0.683,42.0,41.2,0
2,2025-Q4,Midwest,Pulmonology,1050,7,0.467,0,0.493,0.683,42.0,39.9,0
3,2023-Q1,Southwest,Pulmonology,1281,14,0.288,2,0.404,0.787,51.2,50.6,0
3,2023-Q2,Southwest,Pulmonology,1281,14,0.288,2,0.404,0.787,51.2,34.5,1
3,2023-Q3,Southwest,Pulmonology,1281,14,0.288,2,0.404,0.787,51.2,43.3,0
3,2023-Q4,Southwest,Pulmonology,1281,14,0.288,2,0.404,0.787,51.2,42.1,0
3,2024-Q1,Southwest,Pulmonology,1281,14,0.288,2,0.404,0.787,51.2,40.8,0
3,2024-Q2,Southwest,Pulmonology,1281,14,0.288,2,0.404,0.787,51.2,43.6,0
3,2024-Q3,Southwest,Pulmonology,1281,14,0.288,2,0.404,0.787,51.2,57.2,0
3,2024-Q4,Southwest,Pulmonology,1281,14,0.288,2,0.404,0.787,51.2,39.1,0
3,2025-Q1,Southwest,Pulmonology,1281,14,0.288,2,0.404,0.787,51.2,53.2,0
3,2025-Q2,Southwest,Pulmonology,1281,14,0.288,2,0.404,0.787,51.2,32.8,1
3,2025-Q3,Southwest,Pulmonology,1281,14,0.288,2,0.404,0.787,51.2,43.2,0
3,2025-Q4,Southwest,Pulmonology,1281,14,0.288,2,0.404,0.787,51.2,47.0,0
4,2023-Q1,Midwest,Primary Care,1448,11,0.031,2,0.912,0.234,57.9,42.7,1
4,2023-Q2,Midwest,Primary Care,1448,11,0.031,2,0.912,0.234,57.9,55.1,0
4,2023-Q3,Midwest,Primary Care,1448,11,0.031,2,0.912,0.234,57.9,52.0,0
4,2023-Q4,Midwest,Primary Care,1448,11,0.031,2,0.912,0.234,57.9,56.7,0
4,2024-Q1,Midwest,Primary Care,1448,11,0.031,2,0.912,0.234,57.9,47.0,0
4,2024-Q2,Midwest,Primary Care,1448,11,0.031,2,0.912,0.234,57.9,52.1,0
4,2024-Q3,Midwest,Primary Care,1448,11,0.031,2,0.912,0.234,57.9,56.2,0
4,2024-Q4,Midwest,Primary Care,1448,11,0.031,2,0.912,0.234,57.9,48.0,0
4,2025-Q1,Midwest,Primary Care,1448,11,0.031,2,0.912,0.234,57.9,54.7,0
4,2025-Q2,Midwest,Primary Care,1448,11,0.031,2,0.912,0.234,57.9,45.0,0
4,2025-Q3,Midwest,Primary Care,1448,11,0.031,2,0.912,0.234,57.9,47.6,0
4,2025-Q4,Midwest,Primary Care,1448,11,0.031,2,0.912,0.234,57.9,47.4,0
5,2023-Q1,Southwest,Neurology,1370,6,0.501,2,0.629,0.302,54.8,52.3,0
5,2023-Q2,Southwest,Neurology,1370,6,0.501,2,0.629,0.302,54.8,39.1,1
5,2023-Q3,Southwest,Neurology,1370,6,0.501,2,0.629,0.302,54.8,41.1,1
5,2023-Q4,Southwest,Neurology,1370,6,0.501,2,0.629,0.302,54.8,42.1,0
5,2024-Q1,Southwest,Neurology,1370,6,0.501,2,0.629,0.302,54.8,44.8,0
5,2024-Q2,Southwest,Neurology,1370,6,0.501,2,0.629,0.302,54.8,56.2,0
5,2024-Q3,Southwest,Neurology,1370,6,0.501,2,0.629,0.302,54.8,45.5,0
5,2024-Q4,Southwest,Neurology,1370,6,0.501,2,0.629,0.302,54.8,49.9,0
5,2025-Q1,Southwest,Neurology,1370,6,0.501,2,0.629,0.302,54.8,63.6,0
5,2025-Q2,Southwest,Neurology,1370,6,0.501,2,0.629,0.302,54.8,50.0,0
